,ra,dec,run,field,redshift,fiberid,camcol-1,camcol-2,camcol-3,camcol-4,camcol-5
ra,1.0,0.002865084567805367,-0.10064909124589866,0.5991512477829012,0.029498819290226817,0.051144858278297935,0.14054773837816642,0.029386593354682095,-0.26392016600891494,0.0016246186124517729,0.06595420572463238
dec,0.002865084567805367,1.0,0.7823997834669842,-0.13278534205033948,0.07081276820407202,0.15564795768307318,-0.09648365988260114,-0.07507900321520906,0.03972088360284583,0.06152254220230151,-0.017936954996611593
run,-0.10064909124589866,0.7823997834669842,1.0,-0.4777776834382616,0.06098302796352306,0.14557937060162074,-0.04978640968706766,-0.12077880608383552,0.02044947200910316,-0.03118773381011231,0.009358815219825142
field,0.5991512477829012,-0.13278534205033948,-0.4777776834382616,1.0,0.015754461334060874,-0.03926794670625359,0.051355023431390805,0.159369038310772,-0.18181431613481303,-0.07727853518906758,0.10725428938867868
redshift,0.029498819290226817,0.07081276820407202,0.06098302796352306,0.015754461334060874,1.0,0.043933297610349704,0.012177106485330318,-0.011760313297383019,-0.020610549856642773,0.006145744127215391,0.015794722556748186
fiberid,0.051144858278297935,0.15564795768307318,0.14557937060162074,-0.03926794670625359,0.043933297610349704,1.0,-0.28453507403863504,-0.35587377718008784,-0.2087769338382194,0.31704471115040284,0.25770854547496036
camcol-1,0.14054773837816642,-0.09648365988260114,-0.04978640968706766,0.051355023431390805,0.012177106485330318,-0.28453507403863504,1.0,-0.17553139961277078,-0.16604235431708467,-0.1830302127926988,-0.1826023367916608
camcol-2,0.029386593354682095,-0.07507900321520906,-0.12077880608383552,0.159369038310772,-0.011760313297383019,-0.35587377718008784,-0.17553139961277078,1.0,-0.19539708695973806,-0.21538823965978318,-0.2148847191903525
camcol-3,-0.26392016600891494,0.03972088360284583,0.02044947200910316,-0.18181431613481303,-0.020610549856642773,-0.2087769338382194,-0.16604235431708467,-0.19539708695973806,1.0,-0.20374457495473922,-0.2032682742794018
camcol-4,0.0016246186124517729,0.06152254220230151,-0.03118773381011231,-0.07727853518906758,0.006145744127215391,0.31704471115040284,-0.1830302127926988,-0.21538823965978318,-0.20374457495473922,1.0,-0.22406473124509035
camcol-5,0.06595420572463238,-0.017936954996611593,0.009358815219825142,0.10725428938867868,0.015794722556748186,0.25770854547496036,-0.1826023367916608,-0.2148847191903525,-0.2032682742794018,-0.22406473124509035,1.0
